en;it;es;fr
\nb[KING]The undead are making the monster impervious to§your attacks!;\nb[RE]I morti viventi rendono immortale quel mostro!;\nb[REY]Los muertos vivientes hacen que el monstruo sea§inmune a tus ataques!;\nb[ROI]Les morts-vivants rendent le monstre immunisé§contre tes attaques!
\nb[KING]Ourhero, Ourhero!;\nb[RE]Nostroeroe, Nostroeroe!;\nb[REY]Nuestrohéroe, Nuestrohéroe!;\nb[ROI]Notrehéros, Notrehéros !
\nb[OURHERO]My sire, my sire!;\nb[NOSTROEROE]Mio sire, mio sire!;\nb[NUESTROHEROE]Mi señor, mi señor!;\nb[NOTREHEROS]Mon seigneur, mon seigneur !
\nb[KING]That guy is the cause of all this!;\nb[RE]Lui è la causa di tutto!;\nb[REY]Ese tipo es la causa de todo esto!;\nb[ROI]Ce type est la cause du problème !
\nb[OURHERO]The Teorhemas Crystal!;\nb[NOSTROEROE]Il Cristallo di Teorhemas!;\nb[NUESRTOHEROE]El Cristal de Theoremas!;\nb[NOTREHEROS]Le Cristal de Teorhemas !
Gnahahah poor folks!§The crystal is now mine and no one will be able to§take it off from me!;Gnahahah poveri stolti!§Il cristallo è mio e nessuno me lo leverà dalle grinfie!;Gnahahah pobres tontos!§El cristal es ahora mío y nadie podrá quitármelo.;Gnahahah pauvres gens !§Le cristal est à moi désormais, et personne ne pourra§me le retirer !
\nb[KING]Ourhero, I still haven't told you about the real power§of the Teorhemas Crystal!;\nb[RE]Nostroeroe, tu non sai qual è l'incredibile potere del§Cristallo di Teorhemas!;\nb[REY]Nuestrohéroe, todavía no te he contado sobre el§poder real del Cristal de Teorhemas!;\nb[ROI]Notrehéros, je ne t'ai toujours pas dit au sujet du§vrai pouvoir du Cristal de Teorhemas !
\nb[KING]The crystal can bring any inanimated object to life!\.§It can control all nonliving matter!;\nb[RE]Chiunque possegga il cristallo può dare vita a§qualsiasi oggetto inanimato!\.§Sostanze, oggetti... qualsiasi cosa non vivente,§insomma!;\nb[REY]¡El cristal puede dar vida a cualquier objeto§inanimado!\.§¡Puede controlar toda la materia inanimada!;\nb[ROI]Le cristal peut ramener à la vie n'importe quel objet§inanimé !\.§Il contrôle tout le non-vivant !
\nb[OURHERO]That explains everything!;\nb[NOSTROEROE]Ora si spiega tutto!;\nb[NUESTROHEROE]Eso explica todo!;\nb[NOTREHEROS]Tout s'éclaire !
Gnahahah have a look at what I can do with the§power of this amazing crystal!;Gnahahah guardate cosa posso fare con questo§fantastico cristallo!;Gnahahah, echa un vistazo a lo que puedo hacer con§el poder de este increíble cristal!;Gnahahah regardez ce que je peux faire avec le§pouvoir de cet incroyable cristal !
\nb[OURHERO]He created that monster from a broken bottle of§wine!;\nb[NOSTROEROE]Ha creato quel mostro da una bottiglia di vino che§era caduta in terra!;\nb[NUESTROHEROE]¡Él creó ese monstruo a partir de una botella de§vino rota!;\nb[NOTREHEROS]Il a créé ce monstre à partir de cette bouteille de vin§brisée !
\nb[KING]You know the power of the Teorhemas Crystal now.\|§You understand it's far too dangerous to leave the§crystal in his hands!;\nb[RE]Ora sai qual è la potenza del Cristallo di Teorhemas.\|§Puoi facilmente capire che non possiamo lasciarlo§nella mani di quel pazzo!;\nb[REY]Ahora conoces el poder del Cristal de Theoremas.\|§Entiendes que es demasiado peligroso dejar el§cristal en sus manos!;\nb[ROI]Tu connais maintenant le pouvoir du Cristal de§Teorhemas.\|§Tu comprends pourquoi il est trop dangereux de§laisser le cristal entre ses mains !
Gnahahah I leave you in the clutches of my monster!\.§The crystal is mine.\.§Gnahahahaha!!!;Gnahahah io vi lascio nelle grinfie del mio mostro!\.§Il cristallo è mio.\.§Gnahahahaha!!!;Gnahahah te dejaré con las garras de mi monstruo!\.§El cristal es mío.\.§Gnahahahaha!!!;Gnahahah Je vous laisse entre les griffes de mon§monstre!\.§Le cristal est mien.\.§Gnahahahaha !!!
\nb[KING]Ourhero, kill that monster before he can reach my§castle!;\nb[RE]Nostroeroe, uccidi quel mostro prima che raggiunga§il mio castello!;\nb[REY]Nuestrohéroe, mata ese monstruo antes de que§pueda llegar a mi castillo!;\nb[ROI]Notrehéros, tue ce monstre avant qu'il n'atteigne§mon château !
