en;it;es;Fr
Meat§Eat it to recover all your energy!;Carne§Mangiala per recuperare tutta la tua energia!;Carne§Cómela para recuperar toda tu energía!;Viande§Manges-en pour recouvrer ton énergie !
Regenerator§This potion recharges your Skill Energy!;Rigeneratore§Questa pozione permette di rigenerare le abilità delle tue armi.;Regenerador§Esta poción recarga tu Energía de Habilidad!;Régénérateur§Cette potion recharge ta barre de compétence !
Small Bridge§A small, portable bridge for crossing gaps.;Ponticello§Un piccolo ponte.;Puente Pequeño§Un puente pequeño y portátil para cruzar huecos.;Petit Pont§Un petit pont portable pour traverser les fossés.
Key§A key found in the forest.;Chiave§Una chiave trovata nella foresta.;Llave§Una llave encontrada en el bosque.;Clé§Une clé trouvée dans une forêt.
Key§A key found in the desert.;Chiave§Una chiave trovata nel deserto.;Llave§Una llave encontrada en el desierto.;Clé§Une clé trouvée dans le désert.
Key§This key opens the entrance to the Finalboss hall.;Chiave§La chiave che apre l'ingresso verso la sala di Bossfinale.;Llave§Esta llave abre la entrada al salón de Jefefinal.;Clé§Cette clé ouvre l'entrée au Hall de Bossfinal.
Book of the Forgotten Crafts§;Libro delle Doti Perdute§;Libro de las Artesanias Olvidadas.;Livre des Arts Oubliés§
Controller Crystal§A crystal fragment that can temporarily disrupt weak enemies.;Cristallo Controllore§Un frammento di cristallo in grado di interferire con le capacità dei nemici.;Controlador de Cristal§Un fragmento de cristal que puede interrumpir temporalmente a los enemigos débiles.;Cristal de Contrôle§Un fragment de cristal qui peut temporairement perturber les ennemis.
Bronze Medal§A bronze medal gained in the arena.;Medaglia di Bronzo§Una medaglia di bronzo ottenuta in arena.;Medalla de Bronce§Una medalla de bronce obtenida en la Arena.;Médaille de Bronze§Une médaille de Bronze gagnée dans l'arène.
Silver Medal§A silver medal gained in the arena.;Medaglia d'Argento§Una medaglia d'argento ottenuta in arena.;Medalla de Plata§Una medalla de plata obtenida en la Arena.;Médaille d'argent§Une Médaille d'Argent gagnée dans l'arène.
Gold Medal§A golden medal gained in the arena.;Medaglia d'Oro§Una medaglia d'oro ottenuta in arena.;Medalla de Oro§Una medalla de oro obtenida en la Arena.;Médaille d'Or§Une Médaille d'Or gagnée dans l'arène.
